 Campana
 Florencio Sanchez
 Florentino Ameghino
 Florisbelo Acosta
 Formosa
Avenida Fortunato de la Plaza
 Francia
 Francisco A Rizzuto
 Francisco de Aparicio
 Francisco de Laprida
 Francisco Ferrer
 Fray Luis Beltran
 Fray Luis Beltran
 Fray Luis Beltran
 Fray Mamerto Esquiu
 Fray Sta Maria de Oro
 Friuli
 Gaboto
 Galicia
 Gandhi
 Garcia Lorca
 Gdor Guillermo Udaondo
 Gdor Luis Vernet
 Gdor V Vergara
 Genaro Giacobini
 Genova
 Geronimo Rejon
 Gertrudis
 Giacomo Matteoti
 Giordano
 Godofredo Daireaux
 Goleta Sarandi
 Gral Angel Pacheco
 Gral Augusto Sandino
 Gral Balcarce
 Gral Cornelio Saavedra
 Gral E Mosconi
 Gral E Mosconi
 Gral Federico Rauch
 Gral G Costa
 Gral Gregorio Velez
 Gral Guemes
 Gral Ignacio Rivas
 Gral J J de Urquiza
 Gral Jose G Artigas
 Gral Jose Maria Paz
 Gral Jose Maria Piran
 Gral Juan Arenales
 Gral Juan Jose Valle
 Gral Juan Jose Viamonte
 Gral Juan Lavalle
Diagonal Gral Juan M de Pueyrredon
 Gral las Heras
 Gral M de Azcuenaga
 Gral M Soler
 Gral Madariaga
 Gral Manuel N Savio
 Gral Mariano Acha
 Gral O Higgins
 Gral Rafael de Riego
 Gral San Martin
 Gral Simon Bolivar
 Gral Tomas Guido
 Granados
 Grdacosta I Malvinas
 Grecia
 Grieg
 Guardacosta Rio Iguazu
 Guayanas
 Guernica
 Guillermo Bayley
Diagonal Guillermo E Hudson
 Guillermo Rawson
 Handel Williams
 Haras Horizonte
 Herminia C Brumana
 Hernandarias
 Hipolito Bouchard
 Hipolito Yrigoyen
 Horacio Gaudini
Diagonal Horacio Quiroga
 Ignacio Frugoni
Avenida Independencia
 Independencia
 Ing Guillermo Marconi
 Ing Julio V Canessa
 Ing Ratery
 Int E Peralta Ramos
 Int F Martinez de Hoz
 Inte Camuso
 Inte Goñi
 Inte Rufino Inda
 Irala
 Isla de Cerdeña
 Isla de los Estados
 Italia
 Ituzaingo
 J Azurduy de Padilla
 J Cutay
 J de Garay
Avenida J Gaudino
 J King
 J M Teresa Michel
 J Yanaty
Avenida Jacinto Peralta Ramos
Paseo Jesus de Galindez
 Joaquin Acevedo
 Joaquin V Gonzalez
 Johann Strauss
 Jose Antonio Cabrera
 Jose de la Salle
 Jose E Colombres
Diagonal Jose Garibaldi
 Jose Hernandez
 Jose Juan Biedma
 Jose Lanzilota
 Jose Lijo Lopez
 Jose M Serrano
 Jose Manuel Estrada
 Jose Maria Calaza
 Jose Marmol
 Jose Marti
 Jose Ortega y Gasset
 Jose Rondeau
 Jose s Malabia
 Jose Zacagnini
 Jovellanos
 Juan A Peña
 Juan Agustin Maza
 Juan B Ambrosetti
 Juan Calchaqui
Pasaje Juan Castagnino
 Juan de Ayolas
 Juan de Dios Filiberto
 Juan Diaz de Solis
 Juan F Czetz
 Juan Gutenberg
 Juan Hipolito Vieytes
 Juan Larrea
 Juan Mariani
 Juan Nestor Guerra
 Juan Nicanor Fernandez
 Juan Vucetich
 Juana Manuela Gorriti
 Jujuy
 Julian Aguirre
Pasaje Julio Verne
 Juncal
 Juramento
 Justo Lopez de Gomara
 Korsakoff
 Kraglievich
 L N Alem
 La Armonia
 La Aurora
 La Calandria
 La Chalupa
 La Chalupa
 La Cigueña
 La Corbata
 La Corbeta
 La Espuela
 La Fragata
 La Golondrina
 La Niña
 La Pampa
 La Pasionaria
 La Pinta
 La Primavera
 La Proa
 La Quilla
 La Ratonera
 La Rioja
 La Torcacita
 La Tranquera
 Labarden
 Laguna de los Padres
 Las Acacias
 Las Acacias
 Las Achiras
 Las Cabrillas
 Las Calas
 Las Casuarinas
 Las Dalias
 Las Dalias
 Las Fresias
 Las Higueras
 Las Hortensias
 Las Lambercianas
 Las Lambercianas
 Las Lambertinas
 Las Magnolias
 Las Maravillas
 Las Margaritas
 Las Margaritas
 Las Palmeras
 Las Rosas
 Las Tres Marias
 Las Violetas
 Las Violetas
 Laureano Bautista
 Le Maine
 Legh II
Diagonal Leopoldo Lugones
 Leopoldo Mendez
Avenida Libertad
 Libres del Sud
 Lisandro de la Torre
 Lituania
 Loberia
 Lombardia
 Londres
 Lonille
 Lorenzo Eusebione
 Lorenzo Scaglia
 Los Abedules
 Los Abetos
 Los Alamos
 Los Alcalufes
 Los Alelies
 Los Algarrobos
 Los Andes
 Los Araucanos
 Los Aromos
 Los Aromos
 Los Arrayanes
 Los Arrayanes
 Los Aztecas
 Los Calabreses
 Los Calchaquies
 Los Caldenes
 Los Caroyas
 Los Cedros
 Los Ceibos
 Los Ceibos
 Los Cerezos
 Los Chañares
 Los Chanas
 Los Charruas
 Los Cipreses
 Los Cipreses
 Los Comechingones
 Los Crisantemos
 Los Duraznos
 Los Eucaliptus
 Los Eucaliptus
 Los Fresnos
 Los Geranios
 Los Granados
 Los Guaranies
 Los Guaycurues
 Los Helechos
 Los Huarpes
 Los Incas
 Los Jacintos
 Los Jazmines
 Los Juncos
 Los Limoneros
 Los Lirios
 Los Lules
 Los Malvones
 Los Manzanos
 Los Naranjos
 Los Nogales
 Los Nogales
 Los Olmos
 Los Olmos
 Los Paraisos
 Los Paraisos
 Los Patagones
 Los Pilagas
 Los Pinos
 Los Pinos
 Los Pinos
 Los Platanos
 Los Platanos
 Los Puelches
 Los Quebrachos
 Los Quichuas
 Los Ranqueles
 Los Robles
 Los Robles
 Los Robles
 Los Sanavirones
 Los Sauces
 Los Sauces
 Los Talas
 Los Tehuelches
 Los Tilos
 Los Tobas
 Lucania
 Luciano Arrue
 Lucio V Mansilla
 Lucio V Mansilla
Avenida Luis Angel Firpo
 Luis Candelaria
 Luis Dellepiane
 Luis Parodi
Paseo Luzuriaga
 Luzuriaga
 M Bornida
Diagonal M Canata
Avenida M Cervantes Saavedra
 M Ferrari
 M Funes de Millan
 Magallanes
 Maipu
 Malvinas Argentinas
 Mangore
 Manso Juan A
 Manuel Curro
 Manuel de Falla
 Manuel Gonzalez Guerrico
 Manuel Quintana
 Manuela Pedraza
 Mapuches
 Mar del Plata
Pasaje Mar del Plata
Avenida Marcelino Champagnat
 Marcelino Etchegaray
 Marcelo Ceretti
 Marcelo T de Alvear
 Marcos Sastre
 Margarita
 Maria Curie
 Mariano Acosta
Avenida Mario Bravo
 Martin Rodriguez
 Mascagni
 Matias Strobel
 Mayor Luisoni
 Mellinao
 Mexico
 Miami
 Miami
 Miguel Baigorrita
 Miguel de Unamuno
 Miguel Guglielmoti
 Miguel Sagastizabal
 Migueletes
 Mirador del Mar
 Misiones
 Moctezuma
 Moises Lebensohn
 Monaco
 Mongore
 Mons Enrique Angelelli
 Mons Enrique Rau
 Mons Miguel de Andrea
Avenida Mons Zabala
 Monsalvo
 Monte Grande
 Montecarlo
 Montecarlo
 Monteverde
 Namuncura
 Napoles
 Necochea
 Nestor Romano
 Neuquen
 Nicolas Jorge
 Nicolas Rodriguez Peña
 Nork Folk
 Nuestra Señora del Pilar
 Nuevo Bosque
 Olegario Olazar
 Olegario V Andrade
Pasaje Olleros
Diagonal Ombu
 Onesimo Leguizamon
Diagonal Ovidio Zubiaurre
 Pablo Tavelli
 Pacheco de Melo
 Padre Dutto
 Padre J Cardiel
 Padre Montes Carballo
 Palm Beach
 Palmiro Vanoli
 Paraguay
 Paraiso
Pasaje Parana
 Paris
 Pascuala Mugaburu
 Patagones
Avenida Patricio Peralta Ramos
 Paula Albarracin
 Pbto David Ortega
 Pbto M Alberti
 Pedro Bouchez
 Pedro de Mendoza
 Pedro Ferre
Avenida Pedro Luro
 Pehuajo
 Pelayo
 Peru
 Pescadores
 Pesquero Halcon
 Pesquero Happy D
 Pesquero Narwal
 Pesquero Nomade
 Pesquero Palma Madre
 Pesquero Pumara
 Pesquero Quo Vadis
 Piedrabuena
 Pigue
 Plus Ultra
Avenida Polonia
 Portofino
 Portugal
 Posadas
 Pres Gral J A Roca
 Pres J Figueroa Alcorta
 Pres Roque Saenz Peña
 Pres Santiago Derqui
 Primera Junta
 Prof Dr Mariano Castex
 Puan
 Puccini
 Queen Mary
 R Outes
 Reduccion Ntra Sra del Pilar
 Reforma Universitaria
 Remolcador Guarani
 Rep Arabe Siria
 Rep Arabe Unida
 Rep de Cuba
 Rep de Nicaragua
 Rep de Sudafrica
 Republica del Libano
 Republiquetas
 Ricardo Guiraldes
 Ricardo Gutierrez
 Ricardo Palma
 Ricardo Rojas
 Ringuelet
 Rio de la Plata
 Rio Negro
 Rivadavia
Ruta Nacional Rn 2
Ruta Nacional Rn 226
 Roberto Arlt
Diagonal Roberto J Payro
 Rodolfo Walsh
 Rodrigo Ortiz de Zarate
 Rosas
 Rossini
Ruta Provincial Rp 88
 Rudecindo Alvarado
 S Lacamtu
 Salta
Diagonal San Antonio
 San Antonio Maria Gianelli
Pasaje San Bernardo
 San Cayetano
 San Francisco de Asis
 San Francisco Javier
 San Jorge
 San Jose de Calasanz
 San Juan
 San Lorenzo
 San Luis
 San Salvador
 Sanchez de Bustamante
 Sanchez Labrador
 Santa Catalina
 Santa Cecilia
 Santa Cruz
 Santa Fe
 Santa Monica
 Santa Rita
Diagonal Santangelo In Vado
 Santiago de Liniers
 Santiago del Estero
 Scarpatti F
 Schuman
 Sebastian Elcano
 Serapio Urquia
 Sgto Juan B Cabral
 Sicilia
 Soledad
 Sorrento
 Sostacovich
 Souessia Isaac
 Submarino Ara Santa Fe
Diagonal Sud
 T M de Anchorena
 T Yemehuech
Pasaje Tagle
 Talcahuano
 Talcahuano
 Tandil
 Teniente Manuel Felix Origone
 Termas de Rio Hondo
 Thames
Avenida Thomas Edison
 Tierra del Fuego
Avenida Tomas Espora
 Tomas Falkner
 Tomas Steganini
 Tomas Vignolo
 Torre de Vera y Aragon
 Tres Arroyos
 Trinidad y Tobago
 Tripulantes del Fournier
 Triunvirato
 Tucuman
 Udine
 Uruguay
 Ushuaia
 Valencia
Diagonal Velez Sarsfield
 Venezuela
 Verdi
 Vicente Lopez
 Vicente Lopez y Planes
Paseo Victoria Ocampo
 Victoriano E Montes
 Victorio Fagnani
 Victorio Tetamanti
Camino Viejo A Miramar
 Viena
 Villa Lobos
 Virrey Joaquin del Pino
Avenida Virrey Vertiz
 Vuelta de Obligado
 Vulcan
 Wagner
 Wenceslao Paunero
 William Morris
 Williams
 Yanquetruz
 Yapeyu
 Zarate
